Circuit: * C:\Users\maksym\source\repos\Dohle\String Maschine\simulations\Draft2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 1.73671e-007 to 1.74796e-007
Heightened Def Con from 1.7573e-007 to 1.76731e-007
Heightened Def Con from 1.76731e-007 to 1.77856e-007
Heightened Def Con from 1.78791e-007 to 1.79792e-007
Heightened Def Con from 1.79792e-007 to 1.80917e-007
Heightened Def Con from 1.81852e-007 to 1.82853e-007
Heightened Def Con from 1.82853e-007 to 1.83978e-007
Heightened Def Con from 1.84914e-007 to 1.85914e-007
Heightened Def Con from 1.85915e-007 to 1.8704e-007
Heightened Def Con from 1.87975e-007 to 1.88976e-007
Heightened Def Con from 1.88976e-007 to 1.90101e-007
Heightened Def Con from 1.91037e-007 to 1.92037e-007
Heightened Def Con from 1.92038e-007 to 1.93163e-007
Heightened Def Con from 1.94099e-007 to 1.95099e-007
Heightened Def Con from 1.951e-007 to 1.96225e-007
Heightened Def Con from 1.97161e-007 to 1.98161e-007
Heightened Def Con from 1.98162e-007 to 1.99287e-007
Heightened Def Con from 2.00223e-007 to 2.01224e-007
Heightened Def Con from 2.01224e-007 to 2.02349e-007
Heightened Def Con from 2.03286e-007 to 2.04286e-007
Heightened Def Con from 2.04286e-007 to 2.05411e-007
Heightened Def Con from 2.06348e-007 to 2.07348e-007
Heightened Def Con from 2.07349e-007 to 2.08474e-007
Heightened Def Con from 2.09411e-007 to 2.10411e-007
Heightened Def Con from 2.10412e-007 to 2.11537e-007
Heightened Def Con from 2.12473e-007 to 2.13474e-007
Heightened Def Con from 2.13474e-007 to 2.14599e-007
Heightened Def Con from 2.15536e-007 to 2.16537e-007
Heightened Def Con from 2.16537e-007 to 2.17662e-007
Heightened Def Con from 2.18599e-007 to 2.196e-007
Heightened Def Con from 2.196e-007 to 2.20725e-007
Heightened Def Con from 2.21662e-007 to 2.22663e-007
Heightened Def Con from 2.22663e-007 to 2.23788e-007
Heightened Def Con from 2.24726e-007 to 2.25726e-007
Heightened Def Con from 2.25726e-007 to 2.26851e-007
Heightened Def Con from 2.27789e-007 to 2.28789e-007
Heightened Def Con from 2.2879e-007 to 2.29915e-007
Heightened Def Con from 2.30852e-007 to 2.31852e-007
Heightened Def Con from 2.31853e-007 to 2.32978e-007
Heightened Def Con from 2.33916e-007 to 2.34916e-007
Heightened Def Con from 2.34916e-007 to 2.36041e-007
Heightened Def Con from 2.36979e-007 to 2.37979e-007
Heightened Def Con from 2.3798e-007 to 2.39105e-007
Heightened Def Con from 2.40043e-007 to 2.41043e-007
Heightened Def Con from 2.41043e-007 to 2.42168e-007
Heightened Def Con from 2.43106e-007 to 2.44106e-007
Heightened Def Con from 2.44107e-007 to 2.45232e-007
Heightened Def Con from 2.4617e-007 to 2.4717e-007
Heightened Def Con from 2.47171e-007 to 2.48296e-007
Heightened Def Con from 2.49234e-007 to 2.50234e-007
Heightened Def Con from 2.50235e-007 to 2.5136e-007
Heightened Def Con from 2.52298e-007 to 2.53298e-007
Heightened Def Con from 2.53298e-007 to 2.54423e-007
Heightened Def Con from 2.55361e-007 to 2.56362e-007
Heightened Def Con from 2.56362e-007 to 2.57487e-007
Heightened Def Con from 2.58425e-007 to 2.59426e-007
Heightened Def Con from 2.59426e-007 to 2.60551e-007
Heightened Def Con from 2.61489e-007 to 2.6249e-007
Heightened Def Con from 2.6249e-007 to 2.63615e-007
Heightened Def Con from 2.64553e-007 to 2.65554e-007
Heightened Def Con from 2.65554e-007 to 2.66679e-007
Heightened Def Con from 2.67618e-007 to 2.68618e-007
Heightened Def Con from 2.68618e-007 to 2.69743e-007
Heightened Def Con from 2.70682e-007 to 2.71682e-007
Heightened Def Con from 2.71683e-007 to 2.72808e-007
Heightened Def Con from 2.73746e-007 to 2.74746e-007
Heightened Def Con from 2.74747e-007 to 2.75872e-007
Heightened Def Con from 2.7681e-007 to 2.7781e-007
Heightened Def Con from 2.77811e-007 to 2.78936e-007
Heightened Def Con from 2.79874e-007 to 2.80875e-007
Heightened Def Con from 2.80875e-007 to 2.82e-007
Heightened Def Con from 2.82939e-007 to 2.83939e-007
